name,osm_id,county,distance_miles,highway_type,surface,difficulty,ref,num_coordinates
Trail 351391162,351391162,Unknown,0.205,footway,unknown,unknown,,14
Trail 648369660,648369660,Unknown,0.205,track,unknown,grade2,,17
Trail 654381866,654381866,Unknown,0.205,footway,unknown,unknown,,24
Trail 870653327,870653327,Unknown,0.205,track,unknown,unknown,,8
Wilson Boundary Road,945136764,Yancey,0.205,track,ground,grade4,,22
River Highlands Hiking Trail,1155638868,Madison,0.205,track,unknown,unknown,,7
Trail 1180534875,1180534875,Unknown,0.205,track,unpaved,unknown,,14
Trail 1241711580,1241711580,Unknown,0.205,track,ground,grade3,,23
Trail 1320094276,1320094276,Unknown,0.205,track,unknown,unknown,,18
Stone Mountain Trail,1420964920,Unknown,0.205,path,dirt,unknown,,19
Duck Hope Drive,16613474,Henderson,0.204,track,unknown,grade1,,15
Owens Gap Road,16632252,Jackson,0.204,track,unknown,grade3,,24
Trail 1090595683,1090595683,Unknown,0.204,footway,unknown,unknown,,55
Trail 1161225741,1161225741,Unknown,0.204,track,ground,unknown,,35
Trail 1192135779,1192135779,Unknown,0.204,path,ground,unknown,,29
Von Trapp Lane,694954969,Unknown,0.203,track,unknown,grade3,,29
Trail 1232954852,1232954852,Unknown,0.203,track,unknown,unknown,,16
Trail 1339627986,1339627986,Unknown,0.203,path,unknown,unknown,,34
Trail 1395881372,1395881372,Unknown,0.203,footway,unknown,unknown,,17
Erwin Lane,16606550,Haywood,0.202,track,unknown,grade2,,44
Cottage Gardens Way,19613684,Sevier,0.202,track,unknown,unknown,,63
Trail 320762062,320762062,Unknown,0.202,footway,unknown,unknown,,20
Trail 636036439,636036439,Unknown,0.202,track,unknown,unknown,,9
Reed Creek Greenway,685481742,Unknown,0.202,cycleway,asphalt,unknown,,25
Bishop Gap Road,693158728,Unknown,0.202,track,unknown,grade2,,46
Trail 732107004,732107004,Unknown,0.202,footway,concrete,unknown,,39
Trail 1160071682,1160071682,Unknown,0.202,track,ground,unknown,,16
Trail 1323989953,1323989953,Unknown,0.202,track,unknown,unknown,,8
Trail 1366236695,1366236695,Unknown,0.202,footway,unknown,unknown,,16
Trail 16423113,16423113,Buncombe,0.201,track,unknown,unknown,,15
State Road 1439,16628039,Jackson,0.201,track,unknown,unknown,,11
Lake Imaging Road,267238355,Transylvania,0.201,track,gravel,grade2,,26
Friendship Baptist Church Cemetery Access,288576425,Unknown,0.201,footway,ground,unknown,,39
Kennedy Cabin Road,891390604,Unknown,0.201,track,unknown,grade4,FS 358A,28
Trail 894675297,894675297,Unknown,0.201,footway,unknown,unknown,,32
Appalachian Trail,977084486,Unknown,0.201,path,ground,unknown,TR 1-08,57
Trail 1081221911,1081221911,Unknown,0.201,footway,unknown,unknown,,24
Trail 1240031958,1240031958,Unknown,0.201,footway,concrete,unknown,,45
Trail 1263756695,1263756695,Unknown,0.201,track,unknown,unknown,,17
Trail 1389745258,1389745258,Unknown,0.201,path,unknown,unknown,,18
Trail 19434063,19434063,Cocke,0.2,track,unknown,grade2,FS 225601,16
Cemetery Loop,173664634,Unknown,0.2,path,unknown,unknown,TR 341,16
Sour Wood Court,348818169,Unknown,0.2,track,asphalt,grade1,,21
Sunset Trail,509686328,Unknown,0.2,path,unknown,unknown,,39
Wolf Creek Road,754775522,Cocke,0.2,track,unknown,grade4,,10
Trail 1188153926,1188153926,Unknown,0.2,path,unknown,unknown,,20
Trail 1365069977,1365069977,Unknown,0.2,path,unknown,unknown,,12
Old Trestle Road,150639869,Buncombe,0.199,path,ground,mountain_hiking,,31
Westfelt Road,410707379,Henderson,0.199,track,unknown,unknown,,22
Lickstone Ridge Road,627923018,Unknown,0.199,track,gravel,grade1,FS 97,33
Trail 938579471,938579471,Unknown,0.199,track,unknown,grade4,,32
Baskins Creek Trail,981356152,Unknown,0.199,path,ground,unknown,,26
Trail 991999729,991999729,Unknown,0.199,footway,asphalt,unknown,,15
Trail 1080336695,1080336695,Unknown,0.199,track,unknown,unknown,,13
Trail 1232766213,1232766213,Unknown,0.199,track,unknown,unknown,,20
Trail 1432748929,1432748929,Unknown,0.199,path,unknown,unknown,,26
Trail 16653972,16653972,Madison,0.198,track,unknown,grade4,,16
Trail 482928063,482928063,Unknown,0.198,footway,unknown,unknown,,11
Trail 863195569,863195569,Unknown,0.198,footway,concrete,unknown,,52
Trail 1081221906,1081221906,Unknown,0.198,footway,unknown,unknown,,12
